k,p,secs,beta1_grid_mean,beta1_obs_mean,beta1_far,beta1_end
6,65,4.34494948387146,0.9010919779768148,0.9880622305152653,1.054394800057161,0.8128823985294913
10,73,3.0830881595611572,0.9019191431666229,0.987924855505842,1.0575212155637232,0.8095655046408444
20,93,3.941638469696045,0.8883330617299251,0.987975997342087,1.4005310406805367,0.8103891206234427
