k,nb,secs,peak_gb,beta1_obs_mean,beta1_grid_mean,beta1_end,sd_matchup,conv
6,5,291.382203578949,4.262134552001953,0.4663889649199258,0.4268515353820758,0.38832086043530056,0.44005907851189335,keine
10,9,790.0248010158539,4.930168151855469,0.46620364593610575,0.4274588277050718,0.37324323840229345,0.44012548419151143,boundary (singular) fit: see help('isSingular')
20,19,1361.702062368393,6.758586883544922,0.466355588223406,0.42719436385183335,0.35802085682733503,0.4374967723782724,keine
