hours,beta_1,se,model
59.899999999999984,1.0549212068025275,0.04473127948578,M_a ohne REs
55.9233663758364,1.0632616663173673,0.039402756117271114,M_a ohne REs
52.21073300177015,1.071745766694763,0.03508094097836735,M_a ohne REs
48.74457346258709,1.0803818948303707,0.03167536821012179,M_a ohne REs
45.508524884509704,1.0891472991908304,0.02901850682773692,M_a ohne REs
42.48731069015536,1.097917835917542,0.026914325219597305,M_a ohne REs
39.66666848162854,1.1065487586200164,0.02518736596469915,M_a ohne REs
37.03328271130145,1.1148953209077643,0.023700100451159556,M_a ohne REs
34.57472182243806,1.1228127763902962,0.02235948874160357,M_a ohne REs
32.27937956291871,1.130156378677123,0.021115667743884882,M_a ohne REs
30.136420195021532,1.136781381377755,0.019955643864411104,M_a ohne REs
28.13572734261011,1.142543038101703,0.018894237128555362,M_a ohne REs
26.26785623424747,1.1472966024584779,0.01796313829419223,M_a ohne REs
24.52398911678833,1.1508973280575905,0.017198145266213594,M_a ohne REs
22.895893628967933,1.1532004685085508,0.016625175030354666,M_a ohne REs
21.375883938480012,1.15406127742087,0.016247423041675018,M_a ohne REs
19.956784459081383,1.1533350084040586,0.016037601462493268,M_a ohne REs
18.631895976440855,1.150876915067627,0.015938341703879078,M_a ohne REs
17.394964022820947,1.1465422510210863,0.015870419090076554,M_a ohne REs
16.240149351297315,1.1401904598040686,0.015746082183110525,M_a ohne REs
15.162000370131919,1.1318314394479851,0.015507486802627148,M_a ohne REs
14.155427407169535,1.1216636327032874,0.015151200766096204,M_a ohne REs
13.215678682766251,1.1098974121253264,0.014701333969631043,M_a ohne REs
12.338317877824178,1.0967431502694545,0.014200983488719714,M_a ohne REs
11.519203191036633,1.0824112196910245,0.013706714101820063,M_a ohne REs
10.75446778647823,1.0671119929453878,0.01328248859171964,M_a ohne REs
10.040501539237939,1.0510558425878966,0.012991260116360875,M_a ohne REs
9.373933992920747,1.034453141173903,0.012883775582110723,M_a ohne REs
8.751618448564514,1.0175142612587598,0.012986924561219347,M_a ohne REs
8.17061710985981,1.0004495753978178,0.013296466952848366,M_a ohne REs
7.628187214547043,0.9834694561464297,0.01377793294990475,M_a ohne REs
7.121768086520624,0.9667842760599477,0.014374777917891405,M_a ohne REs
6.6489690475164025,0.9506044076937241,0.015019091800188348,M_a ohne REs
6.207558131316462,0.9351402236031103,0.01564056955436915,M_a ohne REs
5.795451547193873,0.9206020963434589,0.016172243667955555,M_a ohne REs
5.410703842856947,0.9071803653549677,0.016557123620808818,M_a ohne REs
5.051498720454676,0.8948958356082758,0.016777062995942043,M_a ohne REs
4.716140462288077,0.883684024840749,0.016840214017431597,M_a ohne REs
4.403045925750296,0.8734798036277973,0.016763606044004217,M_a ohne REs
4.110737069705638,0.8642180425448301,0.016570497514590544,M_a ohne REs
3.837833977026388,0.8558336121672581,0.016288776853655613,M_a ohne REs
3.5830483403485838,0.8482613830704904,0.015949786146298186,M_a ohne REs
3.345177380294599,0.8414362258299375,0.01558718678723848,M_a ohne REs
3.1230981674520137,0.8352930110210088,0.015235555494815308,M_a ohne REs
2.9157623213042116,0.8297666092191145,0.01492847292005076,M_a ohne REs
2.7221910610877256,0.8247918909996647,0.014696019381961849,M_a ohne REs
2.5414705852126174,0.8203037269380685,0.014561866823060376,M_a ohne REs
2.3727477574333333,0.8162369876097367,0.014540499678355238,M_a ohne REs
2.2152260794054857,0.8125265435900787,0.014635321048389792,M_a ohne REs
2.068161930616038,0.8091072654545045,0.014838281821983369,M_a ohne REs
1.9308610579365264,0.8059140352712935,0.015131183790332228,M_a ohne REs
1.8026752982273702,0.8028957226750135,0.01548943125636504,M_a ohne REs
1.6829995185215267,0.8000423703376003,0.015890006957676638,M_a ohne REs
1.5712687593428318,0.7973515588007638,0.01631383648745228,M_a ohne REs
1.4669555676733752,0.7948208686062147,0.016745497647602952,M_a ohne REs
1.3695675069794868,0.792447880295664,0.017172849511406185,M_a ohne REs
1.278644832541816,0.7902301744108221,0.017586579893964147,M_a ohne REs
1.1937583211152918,0.7881653314933993,0.017979759442762294,M_a ohne REs
1.1145072446733535,0.7862509320851068,0.018347444804241768,M_a ohne REs
1.0405174786709839,0.7844845567276545,0.018686345552640746,M_a ohne REs
0.9714397358961434,0.7828637859627533,0.018994554870974335,M_a ohne REs
0.9069479175720501,0.7813862003321138,0.019271337330748435,M_a ohne REs
0.8467375739262712,0.7800493803774465,0.01951696487926349,M_a ohne REs
0.790524466959362,0.7788509066404623,0.01973259204496831,M_a ohne REs
0.7380432286282336,0.7777883596628712,0.019920162138280774,M_a ohne REs
0.6890461081098816,0.7768593199863845,0.020082337198761954,M_a ohne REs
0.6433018022316049,0.7760613681527122,0.020222445311067157,M_a ohne REs
0.6005943635464759,0.7753920847035651,0.02034443956309753,M_a ohne REs
0.5607221808993633,0.774849050180654,0.02045286333366817,M_a ohne REs
0.5234970276710037,0.7744298451256887,0.02055281681628775,M_a ohne REs
0.4887431732071276,0.7741320500803807,0.020649919794103893,M_a ohne REs
0.45629655323791446,0.7739532455864402,0.020750265797896822,M_a ohne REs
0.4260039953715399,0.7738910121855779,0.020860363054759135,M_a ohne REs
0.39772249600555504,0.7739429304195042,0.020987058241059054,M_a ohne REs
0.3713185452425845,0.7741065808299299,0.02113744015686955,M_a ohne REs
0.3466674966234331,0.7743795439585653,0.02131872216118248,M_a ohne REs
0.3236529787022752,0.7747594003471213,0.021538104564410295,M_a ohne REs
0.30216634568611217,0.7752437305373087,0.02180262101956876,M_a ohne REs
0.2821061645451103,0.7758301150708371,0.02211897593999414,M_a ohne REs
0.2633777361725909,0.7765161344894178,0.0224933825755478,M_a ohne REs
0.24589264833419341,0.7772993693347615,0.02293141299773691,M_a ohne REs
0.22956835829578986,0.7781774001485788,0.023437871361774113,M_a ohne REs
0.21432780315984548,0.7791478074725798,0.024016700189690036,M_a ohne REs
0.20009903607072102,0.7802081718484751,0.024670926214840672,M_a ohne REs
0.18681488657152986,0.7813560738179759,0.02540264810743647,M_a ohne REs
0.17441264350918192,0.7825890939227925,0.02621306398015176,M_a ohne REs
0.1628337589906866,0.7839048127046355,0.027102532783367137,M_a ohne REs
0.15202357199316888,0.7853008107052147,0.028070661151224374,M_a ohne REs
0.14193105032282682,0.7867746684662424,0.029116406204249642,M_a ohne REs
0.13250854970468662,0.7883239665294275,0.030238185143135334,M_a ohne REs
0.12371158886587513,0.7899462854364813,0.03143398381907486,M_a ohne REs
0.1154986395506374,0.7916392057291146,0.03270145837520164,M_a ohne REs
0.10783093047580912,0.7934003079490376,0.03403802609091192,M_a ohne REs
0.10067226430126917,0.795227172637961,0.03544094341046047,M_a ohne REs
0.09398884675133412,0.7971173803375955,0.03690737062173413,M_a ohne REs
0.08774912708042071,0.7990685115896514,0.03843442371350532,M_a ohne REs
0.0819236491298531,0.8010781469358396,0.04001921460611755,M_a ohne REs
0.07648491227269195,0.8031438669178704,0.041658881292583154,M_a ohne REs
0.07140724159014122,0.8052632520774549,0.04335060952994173,M_a ohne REs
0.06666666666666667,0.807433882956303,0.04509164766492293,M_a ohne REs
59.899999999999984,1.0550264170102992,0.04474754873328534,M_b + Bookmaker-Intercept
55.9233663758364,1.0633417408194705,0.039411980106449515,M_b + Bookmaker-Intercept
52.21073300177015,1.0718076603649034,0.03508546550003751,M_b + Bookmaker-Intercept
48.74457346258709,1.0804329689564487,0.03167747301426469,M_b + Bookmaker-Intercept
45.508524884509704,1.0891950568283773,0.029020062992558153,M_b + Bookmaker-Intercept
42.48731069015536,1.0979690601529097,0.026916569863492987,M_b + Bookmaker-Intercept
39.66666848162854,1.1066093374687613,0.025190900415175636,M_b + Bookmaker-Intercept
37.03328271130145,1.1149702473146466,0.023705003803435543,M_b + Bookmaker-Intercept
34.57472182243806,1.1229061482292804,0.022365478423795233,M_b + Bookmaker-Intercept
32.27937956291871,1.1302713987513773,0.02112225787095858,M_b + Bookmaker-Intercept
30.136420195021532,1.136920357419652,0.019962278742267747,M_b + Bookmaker-Intercept
28.13572734261011,1.1427073827728191,0.018900397725416105,M_b + Bookmaker-Intercept
26.26785623424747,1.1474868333495936,0.017968426456516636,M_b + Bookmaker-Intercept
24.52398911678833,1.1511130676886905,0.017202345979608152,M_b + Bookmaker-Intercept
22.895893628967933,1.153440444328824,0.016628287007560874,M_b + Bookmaker-Intercept
21.375883938480012,1.1543233218087092,0.016249642668860864,M_b + Bookmaker-Intercept
19.956784459081383,1.1536160586670605,0.01603925547322111,M_b + Bookmaker-Intercept
18.631895976440855,1.1511730134425928,0.015939787138362905,M_b + Bookmaker-Intercept
17.394964022820947,1.1468485446740206,0.01587194479355503,M_b + Bookmaker-Intercept
16.240149351297315,1.1405012189295638,0.015747840185682104,M_b + Bookmaker-Intercept
15.162000370131919,1.1321407071925824,0.015509487899308458,M_b + Bookmaker-Intercept
14.155427407169535,1.1219660396284834,0.015153371142733303,M_b + Bookmaker-Intercept
13.215678682766251,1.1101882277411579,0.014703556950700471,M_b + Bookmaker-Intercept
12.338317877824178,1.0970182830344954,0.014203128408129661,M_b + Bookmaker-Intercept
11.519203191036633,1.0826672170123866,0.013708659252487631,M_b + Bookmaker-Intercept
10.75446778647823,1.0673460411787214,0.013284142119401099,M_b + Bookmaker-Intercept
10.040501539237939,1.0512657670373908,0.01299257913420466,M_b + Bookmaker-Intercept
9.373933992920747,1.0346374060922843,0.012884778982295949,M_b + Bookmaker-Intercept
8.751618448564514,1.0176719698472931,0.012987692077564412,M_b + Bookmaker-Intercept
8.17061710985981,1.0005804698063068,0.01329712092769278,M_b + Bookmaker-Intercept
7.628187214547043,0.9835739174732158,0.013778608977565505,M_b + Bookmaker-Intercept
7.121768086520624,0.9668633243519106,0.014375596518903282,M_b + Bookmaker-Intercept
6.6489690475164025,0.9506597019462817,0.015020139729238246,M_b + Bookmaker-Intercept
6.207558131316462,0.935174061760219,0.015641891748081563,M_b + Bookmaker-Intercept
