figure,bytes,sha256
rmse.pdf,17729,4ea53999e88f7fcfd2b2ffcc3c9849e27c0ff0cad892af157591a35b6c7a0320
win_props_re.pdf,35206,5554e6a7651f61f9b250df4095cdbc2b7f308daa5e2569795337f7025569ce7d
unbiased_reg.pdf,14736,024644d5dbb52a77bf117d12742db407c94b201fd61c7c17437451ae737678c1
gmm_params.pdf,21253,0ba8946df2fec33bde578dd7db78554c942b5dcfc55c8fe4db93c6842405913a
