grp,var1,var2,vcov,sdcor
Matchup,(Intercept),NA_character_,0.02992342897474145,0.17298389802158307
Bookies,(Intercept),NA_character_,0.014445778274601818,0.12019059145624426
Bookies,DltOpnCls,NA_character_,0.04639013948905578,0.21538370293282585
Bookies,(Intercept),DltOpnCls,0.0065759363455233045,0.25402373018550356
Residual,NA_character_,NA_character_,1.112611983253707e-12,1.054804239304008e-06
