Stichprobe,n,G_matchups,n_ohne_Bewegung,R2,eta_0,se_eta_0_cl,eta_1,se_eta_1_m,se_eta_1_cl,eta_2,se_eta_2_m,se_eta_2_cl
gefiltert (Produktion),172663,20588,0,0.18511371938784793,-0.05002373655627501,0.014185603769878482,1.124804553198671,0.005806595009503706,0.01715997018726818,0.9564269867392297,0.020932589118996474,0.06893446989469391
ungefiltert (alle Kontrakte),184415,20920,11752,0.1863113865896494,-0.05090528039300235,0.014052084397893684,1.1226551059114316,0.005576595773199918,0.01695697832217221,0.9561719741284731,0.020916065276724034,0.06894765369006049
