Stufe,Beschreibung,R2,eta_0,se_eta_0,eta_2,se_eta_2,eta_1,se_eta_1,R2_conditional
S1,nur Preisänderung,0.007473320080677248,0.5100016889670095,0.0011985571609711447,0.832502825676714,0.023088881431587494,,,
S2,+ OpnOdds (Referee-Spez.),0.1848824030571311,-0.06245526497876485,0.003146460090524047,0.9569696760767349,0.020933775568269503,1.1251699532244932,0.005804228038243777,
S3,+ Kovariaten,0.18511371938784793,-0.05002373655627501,0.004010808715060571,0.9564269867392297,0.020932589118996474,1.124804553198671,0.005806595009503706,
S4,+ (1 + DltOpnCls | Bookies),0.18511371938638516,-0.05002373655497909,0.004010715797548888,0.956426986705295,0.02093210442202157,1.1248045531959514,0.005806460489435191,0.18511371938785923
