Gruppe,n,mittel_verschiedene_Werte,anteil_alle5_gleich,mittel_gleich_letzter,anteil_ge2_gleich_letzter,anteil_ge3_gleich_letzter
V1 | sauber,138432,2.2296362112806287,0.28208795654184005,2.7800580790568654,0.6490984743411928,0.4790294151641239
V1 | fortgeschrieben,44607,2.4112134866724952,0.0967112784988903,2.1336113166095005,0.5493308225166453,0.3060057838455848
V2 | dieselben fortgeschr. Serien,44607,1.8179209541103414,0.43802542201896566,3.386419171878853,0.7818055462147196,0.6390028470867801
