Variante,Gruppe,Paar,anteil_exakt_null,mean_abs,sd
V1,sauber,P46-P41,0.6054813915857605,0.006092709462651428,0.013358778919480563
V1,sauber,P41-P36,0.6634231969486823,0.005292397566517585,0.014089210976930826
V1,fortgeschr.,P46-P41,0.49987670096621606,0.008302289029594683,0.0176355374473242
V1,fortgeschr.,P41-P36,0.5950411370412716,0.006642464045021976,0.015567962673141976
V2,sauber,P46-P41,0.6371792649098474,0.005460012888543087,0.012541072242892162
V2,sauber,P41-P36,0.6851522769301895,0.004773305731275091,0.012616033217592932
V2,fortgeschr.,P46-P41,0.7542762346716883,0.003817519825047501,0.010608066944276037
V2,fortgeschr.,P41-P36,0.7747438742798215,0.0036506771114780383,0.010530501358228224
