Gruppe_Variante,OddsMvt26,OddsMvt31,OddsMvt36,OddsMvt41,OddsMvt46,ratio_46_36
sauber            V1,0.20600475764851725,0.20578151862010444,0.20555671155532643,0.20529102468581803,0.20521527677479035,0.9983389752737692
sauber            V2,0.2056909097796195,0.20561353598043544,0.2055170126364145,0.20530843753782124,0.20524864610629973,0.9986941882490792
fortgeschrieben   V1,0.2017348419238011,0.20177270831152957,0.2014817680473242,0.20102799111452474,0.20064428795205452,0.9958433951449495
fortgeschrieben   V2,0.20176042610472725,0.2017678332811118,0.20164224197553632,0.20168217450260098,0.20141882723953208,0.998892024142286
